State,Participation,Evidence-Based Reading and Writing,Math,Total,code
Alabama,5,593,572,1165,AL
Alaska,38,547,533,1080,AK
Arizona,30,563,553,1116,AZ
Arkansas,3,614,594,1208,AR
California,53,531,524,1055,CA
Colorado,11,606,595,1201,CO
Connecticut,100,530,512,1041,CT
Delaware,100,503,492,996,DE
District of Columbia,100,482,468,950,DC
Florida,83,520,497,1017,FL
Georgia,61,535,515,1050,GA
Hawaii,55,544,541,1085,HI
Idaho,93,513,493,1005,ID
Illinois,9,559,556,1115,IL
Indiana,63,542,532,1074,IN
Iowa,2,641,635,1275,IA
Kansas,4,632,628,1260,KS
Kentucky,4,631,616,1247,KY
Louisiana,4,611,586,1198,LA
Maine,95,513,499,1012,ME
Maryland,69,536,52,1060,MD
Massachusetts,76,555,551,1107,MA
Michigan,100,509,495,1005,MI
Minnesota,3,644,651,1295,MN
Mississippi,2,634,607,1242,MS
Missouri,3,640,631,1271,MO
Montana,10,605,591,1196,MT
Nebraska,3,629,625,1253,NE
Nevada,26,563,553,1116,NV
New Hampshire,96,532,520,1052,NH
New Jersey,70,530,526,1056,NJ
New Mexico,11,577,561,1138,NM
New York,67,528,523,1052,NY
North Carolina,49,546,535,1081,NC
North Dakota,2,635,621,1256,ND
Ohio,12,578,570,1149,OH
Oklahoma,7,530,517,1047,OK
Oregon,43,560,548,1108,OR
Pennsylvania,65,540,531,1071,PA
Rhode Island,71,539,524,1062,RI
South Carolina,50,543,521,1064,SC
South Dakota,3,612,603,1216,SD
Tennessee,5,623,604,1228,TN
Texas,62,513,507,1020,TX
Utah,3,624,614,1238,UT
Vermont,60,562,551,1114,VT
Virginia,65,561,541,1102,VA
Washington,64,541,534,1075,WA
West Virginia,14,558,528,1086,WV
Wisconsin,3,642,649,1291,WI
Wyoming,3,626,604,1230,WY
